agegroup	year	sex	n
50-54	1990	Male	38
55-59	1990	Male	59
60-64	1990	Male	136
65-69	1990	Male	200
70-74	1990	Male	277
75-79	1990	Male	271
80-84	1990	Male	242
85-89	1990	Male	121
0-4	1990	Female	0
5-9	1990	Female	0
10-14	1990	Female	4
15-19	1990	Female	7
20-24	1990	Female	6
25-29	1990	Female	3
30-34	1990	Female	9
35-39	1990	Female	20
40-44	1990	Female	20
45-49	1990	Female	27
50-54	1990	Female	59
55-59	1990	Female	78
60-64	1990	Female	132
65-69	1990	Female	224
70-74	1990	Female	263
75-79	1990	Female	354
80-84	1990	Female	282
85-89	1990	Female	216
0-4	1989	Male	0
5-9	1989	Male	0
10-14	1989	Male	0
15-19	1989	Male	2
20-24	1989	Male	1
25-29	1989	Male	4
30-34	1989	Male	4
35-39	1989	Male	13
40-44	1989	Male	19
45-49	1989	Male	20
50-54	1989	Male	44
55-59	1989	Male	64
60-64	1989	Male	136
65-69	1989	Male	212
70-74	1989	Male	275
75-79	1989	Male	289
80-84	1989	Male	195
85-89	1989	Male	139
0-4	1989	Female	0
5-9	1989	Female	0
10-14	1989	Female	2
15-19	1989	Female	3
20-24	1989	Female	6
25-29	1989	Female	3
30-34	1989	Female	7
35-39	1989	Female	7
40-44	1989	Female	16
45-49	1989	Female	29
50-54	1989	Female	54
55-59	1989	Female	90
60-64	1989	Female	121
65-69	1989	Female	221
70-74	1989	Female	237
75-79	1989	Female	318
80-84	1989	Female	265
85-89	1989	Female	201
0-4	1988	Male	0
5-9	1988	Male	1
10-14	1988	Male	2
15-19	1988	Male	4
20-24	1988	Male	3
25-29	1988	Male	3
30-34	1988	Male	2
35-39	1988	Male	6
40-44	1988	Male	22
45-49	1988	Male	25
50-54	1988	Male	50
55-59	1988	Male	74
60-64	1988	Male	152
65-69	1988	Male	201
70-74	1988	Male	268
75-79	1988	Male	274
80-84	1988	Male	198
85-89	1988	Male	122
0-4	1988	Female	0
5-9	1988	Female	0
10-14	1988	Female	3
15-19	1988	Female	4
20-24	1988	Female	5
25-29	1988	Female	7
30-34	1988	Female	5
35-39	1988	Female	12
40-44	1988	Female	18
45-49	1988	Female	34
50-54	1988	Female	45
55-59	1988	Female	94
60-64	1988	Female	125
65-69	1988	Female	191
70-74	1988	Female	253
75-79	1988	Female	292
80-84	1988	Female	293
85-89	1988	Female	208
0-4	1987	Male	0
5-9	1987	Male	0
10-14	1987	Male	0
15-19	1987	Male	5
20-24	1987	Male	2
25-29	1987	Male	4
30-34	1987	Male	5
35-39	1987	Male	12
40-44	1987	Male	18
45-49	1987	Male	19
50-54	1987	Male	36
55-59	1987	Male	88
60-64	1987	Male	137
65-69	1987	Male	229
70-74	1987	Male	255
75-79	1987	Male	275
80-84	1987	Male	171
85-89	1987	Male	123
0-4	1987	Female	0
5-9	1987	Female	0
10-14	1987	Female	2
15-19	1987	Female	3
20-24	1987	Female	5
25-29	1987	Female	3
30-34	1987	Female	4
35-39	1987	Female	12
40-44	1987	Female	26
45-49	1987	Female	25
50-54	1987	Female	63
55-59	1987	Female	87
60-64	1987	Female	159
65-69	1987	Female	187
70-74	1987	Female	269
75-79	1987	Female	320
80-84	1987	Female	262
85-89	1987	Female	221
0-4	1986	Male	0
5-9	1986	Male	0
10-14	1986	Male	0
15-19	1986	Male	2
20-24	1986	Male	3
25-29	1986	Male	7
30-34	1986	Male	6
35-39	1986	Male	12
40-44	1986	Male	22
45-49	1986	Male	31
50-54	1986	Male	53
55-59	1986	Male	70
60-64	1986	Male	142
65-69	1986	Male	209
70-74	1986	Male	247
75-79	1986	Male	280
80-84	1986	Male	198
85-89	1986	Male	113
0-4	1986	Female	0
5-9	1986	Female	0
10-14	1986	Female	4
15-19	1986	Female	3
20-24	1986	Female	7
25-29	1986	Female	2
30-34	1986	Female	6
35-39	1986	Female	14
40-44	1986	Female	16
45-49	1986	Female	32
50-54	1986	Female	46
55-59	1986	Female	80
60-64	1986	Female	138
65-69	1986	Female	227
70-74	1986	Female	260
75-79	1986	Female	302
80-84	1986	Female	257
85-89	1986	Female	205
0-4	1985	Male	0
5-9	1985	Male	0
10-14	1985	Male	3
15-19	1985	Male	4
20-24	1985	Male	5
25-29	1985	Male	4
30-34	1985	Male	7
35-39	1985	Male	11
40-44	1985	Male	19
45-49	1985	Male	30
50-54	1985	Male	42
55-59	1985	Male	104
60-64	1985	Male	163
65-69	1985	Male	199
70-74	1985	Male	281
75-79	1985	Male	292
80-84	1985	Male	185
85-89	1985	Male	105
0-4	1985	Female	0
5-9	1985	Female	0
10-14	1985	Female	1
15-19	1985	Female	8
20-24	1985	Female	3
25-29	1985	Female	6
30-34	1985	Female	8
35-39	1985	Female	11
40-44	1985	Female	24
45-49	1985	Female	34
50-54	1985	Female	51
55-59	1985	Female	76
60-64	1985	Female	121
65-69	1985	Female	188
70-74	1985	Female	231
75-79	1985	Female	297
80-84	1985	Female	278
85-89	1985	Female	224
0-4	1984	Male	0
5-9	1984	Male	0
10-14	1984	Male	2
15-19	1984	Male	3
20-24	1984	Male	4
25-29	1984	Male	1
30-34	1984	Male	7
35-39	1984	Male	5
40-44	1984	Male	21
45-49	1984	Male	27
50-54	1984	Male	51
55-59	1984	Male	83
60-64	1984	Male	141
65-69	1984	Male	213
70-74	1984	Male	267
75-79	1984	Male	275
80-84	1984	Male	188
85-89	1984	Male	117
0-4	1984	Female	0
5-9	1984	Female	0
10-14	1984	Female	4
15-19	1984	Female	6
20-24	1984	Female	2
25-29	1984	Female	6
30-34	1984	Female	9
35-39	1984	Female	13
40-44	1984	Female	18
45-49	1984	Female	29
50-54	1984	Female	41
55-59	1984	Female	88
60-64	1984	Female	133
65-69	1984	Female	196
70-74	1984	Female	245
75-79	1984	Female	287
80-84	1984	Female	249
85-89	1984	Female	162
0-4	1983	Male	0
5-9	1983	Male	1
10-14	1983	Male	2
15-19	1983	Male	0
20-24	1983	Male	2
25-29	1983	Male	3
30-34	1983	Male	5
35-39	1983	Male	6
40-44	1983	Male	10
45-49	1983	Male	31
50-54	1983	Male	48
55-59	1983	Male	77
60-64	1983	Male	137
65-69	1983	Male	187
70-74	1983	Male	256
75-79	1983	Male	237
80-84	1983	Male	206
85-89	1983	Male	101
0-4	1983	Female	0
5-9	1983	Female	1
10-14	1983	Female	2
15-19	1983	Female	5
20-24	1983	Female	5
25-29	1983	Female	5
30-34	1983	Female	6
35-39	1983	Female	18
40-44	1983	Female	20
45-49	1983	Female	27
50-54	1983	Female	61
55-59	1983	Female	95
60-64	1983	Female	149
65-69	1983	Female	228
70-74	1983	Female	224
75-79	1983	Female	283
80-84	1983	Female	232
85-89	1983	Female	181
0-4	1982	Male	0
5-9	1982	Male	0
10-14	1982	Male	1
15-19	1982	Male	3
20-24	1982	Male	4
25-29	1982	Male	1
30-34	1982	Male	9
35-39	1982	Male	12
40-44	1982	Male	17
45-49	1982	Male	29
50-54	1982	Male	50
55-59	1982	Male	86
60-64	1982	Male	133
65-69	1982	Male	184
70-74	1982	Male	247
75-79	1982	Male	238
80-84	1982	Male	182
85-89	1982	Male	108
0-4	1982	Female	0
5-9	1982	Female	1
10-14	1982	Female	4
15-19	1982	Female	2
20-24	1982	Female	6
25-29	1982	Female	5
30-34	1982	Female	11
35-39	1982	Female	14
40-44	1982	Female	16
45-49	1982	Female	28
50-54	1982	Female	52
55-59	1982	Female	96
60-64	1982	Female	143
65-69	1982	Female	188
70-74	1982	Female	254
75-79	1982	Female	269
80-84	1982	Female	237
85-89	1982	Female	165
0-4	1981	Male	0
5-9	1981	Male	0
10-14	1981	Male	2
15-19	1981	Male	1
20-24	1981	Male	0
25-29	1981	Male	6
30-34	1981	Male	7
35-39	1981	Male	9
40-44	1981	Male	12
45-49	1981	Male	26
50-54	1981	Male	48
55-59	1981	Male	104
60-64	1981	Male	139
65-69	1981	Male	178
70-74	1981	Male	250
75-79	1981	Male	233
80-84	1981	Male	177
85-89	1981	Male	99
0-4	1981	Female	0
5-9	1981	Female	0
10-14	1981	Female	2
15-19	1981	Female	5
20-24	1981	Female	5
25-29	1981	Female	5
30-34	1981	Female	7
35-39	1981	Female	16
40-44	1981	Female	22
45-49	1981	Female	33
50-54	1981	Female	61
55-59	1981	Female	95
60-64	1981	Female	116
65-69	1981	Female	181
70-74	1981	Female	270
75-79	1981	Female	279
80-84	1981	Female	216
85-89	1981	Female	150
0-4	1980	Male	0
5-9	1980	Male	0
10-14	1980	Male	2
15-19	1980	Male	1
20-24	1980	Male	8
25-29	1980	Male	3
30-34	1980	Male	4
35-39	1980	Male	7
40-44	1980	Male	13
45-49	1980	Male	24
50-54	1980	Male	37
55-59	1980	Male	72
60-64	1980	Male	129
65-69	1980	Male	193
70-74	1980	Male	245
75-79	1980	Male	259
80-84	1980	Male	159
85-89	1980	Male	94
0-4	1980	Female	0
5-9	1980	Female	2
10-14	1980	Female	3
15-19	1980	Female	4
20-24	1980	Female	6
25-29	1980	Female	8
30-34	1980	Female	6
35-39	1980	Female	12
40-44	1980	Female	22
45-49	1980	Female	30
50-54	1980	Female	58
55-59	1980	Female	93
60-64	1980	Female	145
65-69	1980	Female	185
70-74	1980	Female	247
75-79	1980	Female	256
80-84	1980	Female	227
85-89	1980	Female	159
0-4	1979	Male	0
5-9	1979	Male	1
10-14	1979	Male	1
15-19	1979	Male	4
20-24	1979	Male	1
25-29	1979	Male	3
30-34	1979	Male	6
35-39	1979	Male	16
40-44	1979	Male	18
45-49	1979	Male	23
50-54	1979	Male	51
55-59	1979	Male	99
60-64	1979	Male	120
65-69	1979	Male	214
70-74	1979	Male	240
75-79	1979	Male	216
80-84	1979	Male	175
85-89	1979	Male	102
0-4	1979	Female	0
5-9	1979	Female	1
10-14	1979	Female	3
15-19	1979	Female	4
20-24	1979	Female	2
25-29	1979	Female	3
30-34	1979	Female	6
35-39	1979	Female	15
40-44	1979	Female	15
45-49	1979	Female	29
50-54	1979	Female	46
55-59	1979	Female	104
60-64	1979	Female	123
65-69	1979	Female	202
70-74	1979	Female	254
75-79	1979	Female	251
80-84	1979	Female	195
85-89	1979	Female	161
0-4	1978	Male	0
5-9	1978	Male	0
10-14	1978	Male	2
15-19	1978	Male	1
20-24	1978	Male	3
25-29	1978	Male	0
30-34	1978	Male	4
35-39	1978	Male	10
40-44	1978	Male	15
45-49	1978	Male	21
50-54	1978	Male	57
55-59	1978	Male	84
60-64	1978	Male	124
65-69	1978	Male	203
70-74	1978	Male	203
75-79	1978	Male	235
80-84	1978	Male	151
85-89	1978	Male	86
0-4	1978	Female	0
5-9	1978	Female	0
10-14	1978	Female	0
15-19	1978	Female	5
20-24	1978	Female	1
25-29	1978	Female	2
30-34	1978	Female	10
35-39	1978	Female	8
40-44	1978	Female	19
45-49	1978	Female	42
50-54	1978	Female	47
55-59	1978	Female	114
60-64	1978	Female	112
65-69	1978	Female	184
70-74	1978	Female	233
75-79	1978	Female	226
80-84	1978	Female	204
85-89	1978	Female	158
0-4	1977	Male	0
5-9	1977	Male	0
10-14	1977	Male	1
15-19	1977	Male	0
20-24	1977	Male	2
25-29	1977	Male	3
30-34	1977	Male	12
35-39	1977	Male	9
40-44	1977	Male	12
45-49	1977	Male	23
50-54	1977	Male	50
55-59	1977	Male	81
60-64	1977	Male	128
65-69	1977	Male	198
70-74	1977	Male	225
75-79	1977	Male	217
80-84	1977	Male	135
85-89	1977	Male	96
0-4	1977	Female	0
5-9	1977	Female	1
10-14	1977	Female	3
15-19	1977	Female	4
20-24	1977	Female	3
25-29	1977	Female	3
30-34	1977	Female	14
35-39	1977	Female	15
40-44	1977	Female	14
45-49	1977	Female	22
50-54	1977	Female	54
55-59	1977	Female	85
60-64	1977	Female	125
65-69	1977	Female	192
70-74	1977	Female	232
75-79	1977	Female	221
80-84	1977	Female	183
85-89	1977	Female	153
0-4	1976	Male	0
5-9	1976	Male	0
10-14	1976	Male	1
15-19	1976	Male	2
20-24	1976	Male	5
25-29	1976	Male	6
30-34	1976	Male	4
35-39	1976	Male	13
40-44	1976	Male	13
45-49	1976	Male	29
50-54	1976	Male	48
55-59	1976	Male	80
60-64	1976	Male	130
65-69	1976	Male	211
70-74	1976	Male	211
75-79	1976	Male	200
80-84	1976	Male	157
85-89	1976	Male	91
0-4	1976	Female	0
5-9	1976	Female	4
10-14	1976	Female	1
15-19	1976	Female	3
20-24	1976	Female	5
25-29	1976	Female	10
30-34	1976	Female	9
35-39	1976	Female	6
40-44	1976	Female	17
45-49	1976	Female	28
50-54	1976	Female	53
55-59	1976	Female	90
60-64	1976	Female	123
65-69	1976	Female	178
70-74	1976	Female	203
75-79	1976	Female	241
80-84	1976	Female	173
85-89	1976	Female	128
0-4	1975	Male	0
5-9	1975	Male	0
10-14	1975	Male	1
15-19	1975	Male	0
20-24	1975	Male	4
25-29	1975	Male	8
30-34	1975	Male	3
35-39	1975	Male	10
40-44	1975	Male	20
45-49	1975	Male	30
50-54	1975	Male	57
55-59	1975	Male	74
60-64	1975	Male	143
65-69	1975	Male	165
70-74	1975	Male	214
75-79	1975	Male	201
80-84	1975	Male	120
85-89	1975	Male	101
0-4	1975	Female	0
5-9	1975	Female	0
10-14	1975	Female	1
15-19	1975	Female	4
20-24	1975	Female	2
25-29	1975	Female	6
30-34	1975	Female	5
35-39	1975	Female	8
40-44	1975	Female	15
45-49	1975	Female	32
50-54	1975	Female	62
55-59	1975	Female	107
60-64	1975	Female	133
65-69	1975	Female	167
70-74	1975	Female	196
75-79	1975	Female	186
80-84	1975	Female	181
85-89	1975	Female	123
0-4	1974	Male	0
5-9	1974	Male	0
10-14	1974	Male	3
15-19	1974	Male	0
20-24	1974	Male	2
25-29	1974	Male	3
30-34	1974	Male	7
35-39	1974	Male	12
40-44	1974	Male	14
45-49	1974	Male	23
50-54	1974	Male	53
55-59	1974	Male	61
60-64	1974	Male	118
65-69	1974	Male	159
70-74	1974	Male	233
75-79	1974	Male	192
80-84	1974	Male	155
85-89	1974	Male	81
0-4	1974	Female	0
5-9	1974	Female	0
10-14	1974	Female	0
15-19	1974	Female	2
20-24	1974	Female	3
25-29	1974	Female	4
30-34	1974	Female	9
35-39	1974	Female	9
40-44	1974	Female	14
45-49	1974	Female	43
50-54	1974	Female	72
55-59	1974	Female	71
60-64	1974	Female	123
65-69	1974	Female	160
70-74	1974	Female	203
75-79	1974	Female	229
80-84	1974	Female	173
85-89	1974	Female	115
0-4	1973	Male	0
5-9	1973	Male	0
10-14	1973	Male	0
15-19	1973	Male	1
20-24	1973	Male	0
25-29	1973	Male	5
30-34	1973	Male	12
35-39	1973	Male	11
40-44	1973	Male	15
45-49	1973	Male	38
50-54	1973	Male	40
55-59	1973	Male	74
60-64	1973	Male	138
65-69	1973	Male	200
70-74	1973	Male	195
75-79	1973	Male	202
80-84	1973	Male	136
85-89	1973	Male	79
0-4	1973	Female	0
5-9	1973	Female	0
10-14	1973	Female	0
15-19	1973	Female	1
20-24	1973	Female	4
25-29	1973	Female	12
30-34	1973	Female	6
35-39	1973	Female	17
40-44	1973	Female	20
45-49	1973	Female	36
50-54	1973	Female	63
55-59	1973	Female	85
60-64	1973	Female	154
65-69	1973	Female	170
70-74	1973	Female	217
75-79	1973	Female	198
80-84	1973	Female	173
85-89	1973	Female	124
0-4	1972	Male	0
5-9	1972	Male	0
10-14	1972	Male	0
15-19	1972	Male	1
20-24	1972	Male	1
25-29	1972	Male	4
30-34	1972	Male	5
35-39	1972	Male	13
40-44	1972	Male	18
45-49	1972	Male	31
50-54	1972	Male	49
55-59	1972	Male	95
60-64	1972	Male	124
65-69	1972	Male	139
70-74	1972	Male	208
75-79	1972	Male	178
80-84	1972	Male	127
85-89	1972	Male	68
0-4	1972	Female	0
5-9	1972	Female	0
10-14	1972	Female	5
15-19	1972	Female	5
20-24	1972	Female	6
25-29	1972	Female	5
30-34	1972	Female	5
35-39	1972	Female	11
40-44	1972	Female	14
45-49	1972	Female	35
50-54	1972	Female	49
55-59	1972	Female	81
60-64	1972	Female	149
65-69	1972	Female	161
70-74	1972	Female	195
75-79	1972	Female	234
80-84	1972	Female	152
85-89	1972	Female	103
0-4	1971	Male	0
5-9	1971	Male	0
10-14	1971	Male	1
15-19	1971	Male	3
20-24	1971	Male	1
25-29	1971	Male	3
30-34	1971	Male	7
35-39	1971	Male	12
40-44	1971	Male	28
45-49	1971	Male	35
50-54	1971	Male	55
55-59	1971	Male	81
60-64	1971	Male	131
65-69	1971	Male	172
70-74	1971	Male	182
75-79	1971	Male	175
80-84	1971	Male	130
85-89	1971	Male	74
0-4	1971	Female	0
5-9	1971	Female	1
10-14	1971	Female	0
15-19	1971	Female	1
20-24	1971	Female	4
25-29	1971	Female	4
30-34	1971	Female	12
35-39	1971	Female	13
40-44	1971	Female	17
45-49	1971	Female	45
50-54	1971	Female	63
55-59	1971	Female	85
60-64	1971	Female	115
65-69	1971	Female	143
70-74	1971	Female	177
75-79	1971	Female	201
80-84	1971	Female	142
85-89	1971	Female	108
0-4	1970	Male	0
5-9	1970	Male	0
10-14	1970	Male	0
15-19	1970	Male	1
20-24	1970	Male	3
25-29	1970	Male	9
30-34	1970	Male	2
35-39	1970	Male	7
40-44	1970	Male	18
45-49	1970	Male	44
50-54	1970	Male	59
55-59	1970	Male	86
60-64	1970	Male	128
65-69	1970	Male	190
70-74	1970	Male	174
75-79	1970	Male	198
80-84	1970	Male	118
85-89	1970	Male	56
0-4	1970	Female	0
5-9	1970	Female	0
10-14	1970	Female	1
15-19	1970	Female	1
20-24	1970	Female	4
25-29	1970	Female	4
30-34	1970	Female	6
35-39	1970	Female	13
40-44	1970	Female	22
45-49	1970	Female	48
50-54	1970	Female	61
55-59	1970	Female	80
60-64	1970	Female	119
65-69	1970	Female	164
70-74	1970	Female	174
75-79	1970	Female	201
80-84	1970	Female	183
85-89	1970	Female	115
