agegroup	year	sex	n
80-84	2016	Male	361
85-89	2016	Male	263
0-4	2016	Female	0
5-9	2016	Female	1
10-14	2016	Female	0
15-19	2016	Female	3
20-24	2016	Female	5
25-29	2016	Female	3
30-34	2016	Female	9
35-39	2016	Female	15
40-44	2016	Female	32
45-49	2016	Female	55
50-54	2016	Female	72
55-59	2016	Female	121
60-64	2016	Female	211
65-69	2016	Female	306
70-74	2016	Female	373
75-79	2016	Female	473
80-84	2016	Female	393
85-89	2016	Female	398
0-4	2015	Male	0
5-9	2015	Male	1
10-14	2015	Male	1
15-19	2015	Male	1
20-24	2015	Male	5
25-29	2015	Male	9
30-34	2015	Male	10
35-39	2015	Male	20
40-44	2015	Male	46
45-49	2015	Male	49
50-54	2015	Male	58
55-59	2015	Male	101
60-64	2015	Male	238
65-69	2015	Male	315
70-74	2015	Male	444
75-79	2015	Male	418
80-84	2015	Male	313
85-89	2015	Male	224
0-4	2015	Female	0
5-9	2015	Female	0
10-14	2015	Female	1
15-19	2015	Female	8
20-24	2015	Female	5
25-29	2015	Female	10
30-34	2015	Female	8
35-39	2015	Female	17
40-44	2015	Female	31
45-49	2015	Female	50
50-54	2015	Female	64
55-59	2015	Female	111
60-64	2015	Female	183
65-69	2015	Female	297
70-74	2015	Female	345
75-79	2015	Female	421
80-84	2015	Female	379
85-89	2015	Female	370
0-4	2014	Male	0
5-9	2014	Male	0
10-14	2014	Male	0
15-19	2014	Male	1
20-24	2014	Male	3
25-29	2014	Male	13
30-34	2014	Male	11
35-39	2014	Male	14
40-44	2014	Male	32
45-49	2014	Male	45
50-54	2014	Male	66
55-59	2014	Male	118
60-64	2014	Male	190
65-69	2014	Male	344
70-74	2014	Male	381
75-79	2014	Male	404
80-84	2014	Male	337
85-89	2014	Male	233
0-4	2014	Female	0
5-9	2014	Female	0
10-14	2014	Female	0
15-19	2014	Female	3
20-24	2014	Female	8
25-29	2014	Female	6
30-34	2014	Female	2
35-39	2014	Female	19
40-44	2014	Female	23
45-49	2014	Female	41
50-54	2014	Female	65
55-59	2014	Female	105
60-64	2014	Female	177
65-69	2014	Female	277
70-74	2014	Female	368
75-79	2014	Female	377
80-84	2014	Female	390
85-89	2014	Female	346
0-4	2013	Male	0
5-9	2013	Male	0
10-14	2013	Male	2
15-19	2013	Male	4
20-24	2013	Male	3
25-29	2013	Male	6
30-34	2013	Male	5
35-39	2013	Male	20
40-44	2013	Male	32
45-49	2013	Male	41
50-54	2013	Male	63
55-59	2013	Male	121
60-64	2013	Male	192
65-69	2013	Male	320
70-74	2013	Male	357
75-79	2013	Male	384
80-84	2013	Male	304
85-89	2013	Male	209
0-4	2013	Female	0
5-9	2013	Female	0
10-14	2013	Female	3
15-19	2013	Female	3
20-24	2013	Female	4
25-29	2013	Female	8
30-34	2013	Female	8
35-39	2013	Female	17
40-44	2013	Female	36
45-49	2013	Female	47
50-54	2013	Female	79
55-59	2013	Female	114
60-64	2013	Female	167
65-69	2013	Female	292
70-74	2013	Female	335
75-79	2013	Female	374
80-84	2013	Female	387
85-89	2013	Female	329
0-4	2012	Male	0
5-9	2012	Male	0
10-14	2012	Male	1
15-19	2012	Male	5
20-24	2012	Male	8
25-29	2012	Male	5
30-34	2012	Male	6
35-39	2012	Male	8
40-44	2012	Male	38
45-49	2012	Male	44
50-54	2012	Male	66
55-59	2012	Male	131
60-64	2012	Male	222
65-69	2012	Male	340
70-74	2012	Male	366
75-79	2012	Male	357
80-84	2012	Male	292
85-89	2012	Male	224
0-4	2012	Female	0
5-9	2012	Female	2
10-14	2012	Female	2
15-19	2012	Female	2
20-24	2012	Female	5
25-29	2012	Female	6
30-34	2012	Female	6
35-39	2012	Female	19
40-44	2012	Female	21
45-49	2012	Female	41
50-54	2012	Female	60
55-59	2012	Female	109
60-64	2012	Female	186
65-69	2012	Female	287
70-74	2012	Female	315
75-79	2012	Female	371
80-84	2012	Female	370
85-89	2012	Female	343
0-4	2011	Male	0
5-9	2011	Male	1
10-14	2011	Male	1
15-19	2011	Male	7
20-24	2011	Male	4
25-29	2011	Male	2
